Date,Time,Symbol,Nifty_Trend,VIX,RVol,RSI,SMA200_Dist,SMA20_Dist,Wick_Reject,Nifty_5D,Trap_Score,Momentum_Velocity,Price
2026-05-18,17:04,RELIANCE,0.03,19.63,0.67,38.76,-6.63,-3.92,0.45,-0.7,0.06,25.97,1335.9
2026-05-18,17:04,TCS,0.03,19.63,1.0,33.11,-20.63,-5.32,0.42,-0.7,0.07,33.11,2283.2
2026-05-18,17:04,BHARTIARTL,0.03,19.63,1.43,63.12,-1.08,5.26,0.8,-0.7,0.18,90.26,1938.1
2026-05-18,17:04,SBIN,0.03,19.63,0.93,30.31,-2.12,-8.96,0.3,-0.7,0.03,28.19,939.4
2026-05-18,17:04,INFY,0.03,19.63,0.92,39.63,-20.85,-2.7,0.31,-0.7,0.08,36.46,1142.5
2026-05-18,17:04,HCLTECH,0.03,19.63,0.45,31.07,-21.0,-4.5,0.25,-0.7,0.02,13.98,1146.6
2026-05-18,17:04,SUNPHARMA,0.03,19.63,0.64,67.98,11.99,6.24,0.27,-0.7,0.02,43.51,1905.8
2026-05-18,17:04,POWERGRID,0.03,19.63,1.7,34.16,5.16,-5.51,0.64,-0.7,0.17,58.07,296.55
2026-05-18,17:04,ASIANPAINT,0.03,19.63,0.86,63.88,3.28,3.62,0.21,-0.7,0.04,54.94,2614.0
2026-05-18,17:04,ADANIENT,0.03,19.63,0.67,72.69,17.74,9.61,0.37,-0.7,0.02,48.7,2689.8
2026-05-18,17:04,HAL,0.03,19.63,1.6,46.14,-1.41,-3.53,0.38,-0.7,0.13,73.82,4326.5
2026-05-18,17:04,KOTAKBANK,0.03,19.63,0.73,61.46,-3.73,3.38,0.31,-0.7,0.05,44.87,391.8
2026-05-18,17:04,ADANIPORTS,0.03,19.63,0.73,68.23,22.15,5.56,0.3,-0.7,0.03,49.81,1787.7
2026-05-18,17:04,JSWSTEEL,0.03,19.63,1.55,59.8,11.22,1.63,0.71,-0.7,0.42,92.69,1292.8
2026-05-18,17:04,SIEMENS,0.03,19.63,0.7,45.1,9.94,-5.81,0.0,-0.7,0.0,31.57,3535.1
2026-05-18,17:04,TATASTEEL,0.03,19.63,2.71,47.81,14.43,-1.89,0.39,-0.7,0.37,129.57,209.71
2026-05-18,17:04,IRFC,0.03,19.63,0.97,38.73,-14.63,-5.78,0.02,-0.7,0.0,37.57,97.66
2026-05-18,17:04,IOC,0.03,19.63,1.27,33.23,-12.77,-7.64,0.0,-0.7,0.0,42.2,131.81
2026-05-18,17:04,GRASIM,0.03,19.63,0.89,63.61,5.47,2.93,0.4,-0.7,0.09,56.61,2943.8
2026-05-18,17:04,TECHM,0.03,19.63,2.23,50.27,-3.97,-0.09,0.54,-0.7,1.1,112.1,1430.0
2026-05-18,17:04,VEDL,0.03,19.63,0.47,28.67,-40.26,-29.06,0.71,-0.7,0.01,13.47,327.0
2026-05-18,17:04,PFC,0.03,19.63,0.69,41.54,9.62,-6.04,0.0,-0.7,0.0,28.66,429.8
2026-05-18,17:04,RECLTD,0.03,19.63,0.94,35.37,-5.94,-7.33,0.0,-0.7,0.0,33.25,333.7
2026-05-18,17:04,GODREJCP,0.03,19.63,1.27,39.94,-11.5,-4.88,0.0,-0.7,0.0,50.72,1014.4
2026-05-18,17:04,TVSMOTOR,0.03,19.63,2.66,33.64,-6.59,-7.26,0.17,-0.7,0.05,89.48,3291.0
2026-05-18,17:04,CIPLA,0.03,19.63,0.89,68.57,-0.98,7.26,1.1,-0.7,0.12,61.03,1426.2
2026-05-18,17:04,DIVISLAB,0.03,19.63,1.14,66.76,8.5,3.88,0.48,-0.7,0.11,76.11,6835.0
2026-05-18,17:04,GAIL,0.03,19.63,1.49,48.7,-3.08,-2.3,0.22,-0.7,0.1,72.56,160.22
2026-05-18,17:04,APOLLOHOSP,0.03,19.63,0.85,60.96,6.94,2.16,0.45,-0.7,0.12,51.82,8020.5
2026-05-18,17:04,BPCL,0.03,19.63,0.77,36.63,-14.83,-7.02,0.18,-0.7,0.02,28.21,280.8
2026-05-18,17:04,BRITANNIA,0.03,19.63,0.68,37.32,-7.91,-4.34,0.25,-0.7,0.03,25.38,5380.5
2026-05-18,17:04,MANAPPURAM,0.03,19.63,1.84,58.57,8.36,1.95,0.78,-0.7,0.49,107.77,306.1
2026-05-18,17:04,POLYCAB,0.03,19.63,0.59,70.92,21.35,7.43,0.21,-0.7,0.01,41.84,9151.0
